entry_id,contest_id,contest_name,entry_fee,PG,PG,SG,SG,SF,SF,PF,PF,C,"","Instructions"
"3663754691","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3663754692","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3663754693","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3663754694","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","","4) You can not use this form to create new entries"
"3663754695","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","",""
"3663754696","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"3663754697","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",126644-188414:Victor Wembanyama,126644-188414,C/PF,Victor,Victor Wembanyama,Wembanyama,49.98999938964844,40,11600,PHO@SA,SA,PHO,,,,,,PF/C
"3663754698","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",126644-157833:Jalen Johnson,126644-157833,PF/SF,Jalen,Jalen Johnson,Johnson,50.337998046875,50,11500,ATL@PHI,ATL,PHI,,,,,,SF/PF
"3663754699","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",126644-157808:Cade Cunningham,126644-157808,PG,Cade,Cade Cunningham,Cunningham,49.744680851063826,47,10900,DET@NY,DET,NY,,,,,,PG
"3663754700","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",126644-145331:Tyrese Maxey,126644-145331,PG,Tyrese,Tyrese Maxey,Maxey,49.71346341646635,52,10100,ATL@PHI,PHI,ATL,,,,,,PG
"3663754702","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",126644-49111:Joel Embiid,126644-49111,C,Joel,Joel Embiid,Embiid,43.70645240045363,31,10000,ATL@PHI,PHI,ATL,O,Lower leg,,,,C
"3663754704","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",126644-66113:Donovan Mitchell,126644-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,45.66274605545343,51,9900,BKN@CLE,CLE,BKN,,,,,,PG/SG
"3663754705","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",126644-157908:Alperen Sengun,126644-157908,C/PF,Alperen,Alperen Sengun,Sengun,45.345650050951086,46,9800,HOU@CHA,HOU,CHA,,,,,,PF/C
"3663754706","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",126644-157822:Scottie Barnes,126644-157822,PF/SF,Scottie,Scottie Barnes,Barnes,43.838889793113424,54,9700,TOR@CHI,TOR,CHI,,,,,,SF/PF
"3663754707","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",126644-9644:James Harden,126644-9644,PG/SG,James,James Harden,Harden,44.39574675864362,47,9200,BKN@CLE,CLE,BKN,,,,,,PG/SG
"3663754708","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",126644-84690:Jalen Brunson,126644-84690,PG,Jalen,Jalen Brunson,Brunson,40.4139990234375,50,9100,DET@NY,NY,DET,,,,,,PG
"3663754709","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",126644-58462:Karl-Anthony Towns,126644-58462,C/PF,Karl-Anthony,Karl-Anthony Towns,Towns,40.32156671262255,51,8800,DET@NY,NY,DET,,,,,,PF/C
"3663754710","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",126644-9646:Kevin Durant,126644-9646,SF/PF,Kevin,Kevin Durant,Durant,40.82800048828125,50,8700,HOU@CHA,HOU,CHA,,,,,,SF/PF
"3663769886","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",126644-145485:LaMelo Ball,126644-145485,PG,LaMelo,LaMelo Ball,Ball,37.071110026041666,45,8500,HOU@CHA,CHA,HOU,,,,,,PG
"3663769888","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","126644-145331","126644-84717","126644-228163","126644-228133","126644-188418","126644-58153","126644-157833","126644-188409","126644-157839","",126644-188405:Amen Thompson,126644-188405,SG/PG,Amen,Amen Thompson,Thompson,38.4673086313101,52,8400,HOU@CHA,HOU,CHA,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-58460:Devin Booker,126644-58460,PG/SG,Devin,Devin Booker,Booker,39.58604537609012,43,8300,PHO@SA,PHO,SA,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-60021:Pascal Siakam,126644-60021,PF/C,Pascal,Pascal Siakam,Siakam,40.25686465992647,51,8300,IND@WAS,IND,WAS,O,Personal,,,,PF/C
"","","","","","","","","","","","","","",126644-84682:Michael Porter,126644-84682,PF/SF,Michael,Michael Porter,Porter,39.751220703125,41,8200,BKN@CLE,BKN,CLE,,,,,,SF/PF
"","","","","","","","","","","","","","",126644-203723:Stephon Castle,126644-203723,SG/PG,Stephon,Stephon Castle,Castle,34.63409146395597,44,8100,PHO@SA,SA,PHO,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-84671:Trae Young,126644-84671,PG,Trae,Trae Young,Young,35.15,10,8000,IND@WAS,WAS,IND,O,Knee,,,,PG
"","","","","","","","","","","","","","",126644-203764:Alex Sarr,126644-203764,C/PF,Alex,Alex Sarr,Sarr,37.49512314214939,41,7900,IND@WAS,WAS,IND,O,Hamstring,,,,PF/C
"","","","","","","","","","","","","","",126644-188419:Brandon Miller,126644-188419,SF/SG,Brandon,Brandon Miller,Miller,34.35526315789474,38,7800,HOU@CHA,CHA,HOU,,,,,,SG/SF
"","","","","","","","","","","","","","",126644-80821:Jarrett Allen,126644-80821,C/PF,Jarrett,Jarrett Allen,Allen,31.644184910973838,43,7800,BKN@CLE,CLE,BKN,,,,,,PF/C
"","","","","","","","","","","","","","",126644-66048:Brandon Ingram,126644-66048,SF/PF,Brandon,Brandon Ingram,Ingram,36.39245375147406,53,7700,TOR@CHI,TOR,CHI,,,,,,SF/PF
"","","","","","","","","","","","","","",126644-157905:Josh Giddey,126644-157905,PG/SG,Josh,Josh Giddey,Giddey,42.232353659237134,34,7700,TOR@CHI,CHI,TOR,P,Hamstring,,,,PG/SG
"","","","","","","","","","","","","","",126644-157845:Evan Mobley,126644-157845,PF/C,Evan,Evan Mobley,Mobley,40.966666085379465,42,7600,BKN@CLE,CLE,BKN,,,,,,PF/C
"","","","","","","","","","","","","","",126644-110356:Nickeil Alexander-Walker,126644-110356,SG/PG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,33.23148148148148,54,7500,ATL@PHI,ATL,PHI,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-171779:Jalen Duren,126644-171779,C,Jalen,Jalen Duren,Duren,35.93409035422585,44,7400,DET@NY,DET,NY,O,Suspension,,,,C
"","","","","","","","","","","","","","",126644-80810:De'Aaron Fox,126644-80810,PG,De'Aaron,De'Aaron Fox,Fox,35.67999945746528,45,7300,PHO@SA,SA,PHO,,,,,,PG
"","","","","","","","","","","","","","",126644-171747:Andrew Nembhard,126644-171747,PG/SG,Andrew,Andrew Nembhard,Nembhard,32.92790754451308,43,7100,IND@WAS,IND,WAS,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-228135:Kon Knueppel,126644-228135,SF/SG,Kon,Kon Knueppel,Knueppel,31.414815266927082,54,7100,HOU@CHA,CHA,HOU,,,,,,SG/SF
"","","","","","","","","","","","","","",126644-203761:Matas Buzelis,126644-203761,PF/SF,Matas,Matas Buzelis,Buzelis,29.185453657670454,55,7000,TOR@CHI,CHI,TOR,,,,,,SF/PF
"","","","","","","","","","","","","","",126644-68090:OG Anunoby,126644-68090,SF/PF,OG,OG Anunoby,Anunoby,31.865853658536587,41,7000,DET@NY,NY,DET,P,Toe,,,,SF/PF
"","","","","","","","","","","","","","",126644-145304:Onyeka Okongwu,126644-145304,C/PF,Onyeka,Onyeka Okongwu,Okongwu,34.82,50,6900,ATL@PHI,ATL,PHI,,,,,,PF/C
"","","","","","","","","","","","","","",126644-145348:Immanuel Quickley,126644-145348,PG/SG,Immanuel,Immanuel Quickley,Quickley,33.72884662334736,52,6900,TOR@CHI,TOR,CHI,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-171784:Dyson Daniels,126644-171784,SG/PG,Dyson,Dyson Daniels,Daniels,33.384906121020045,53,6800,ATL@PHI,ATL,PHI,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-203722:Kyshawn George,126644-203722,SF/SG,Kyshawn,Kyshawn George,George,31.96046625181686,43,6800,IND@WAS,WAS,IND,,,,,,SG/SF
"","","","","","","","","","","","","","",126644-40562:Josh Hart,126644-40562,SF/PF,Josh,Josh Hart,Hart,31.67209359102471,43,6700,DET@NY,NY,DET,,,,,,SF/PF
"","","","","","","","","","","","","","",126644-171767:Jabari Smith,126644-171767,PF/C,Jabari,Jabari Smith,Smith,30.392308161808895,52,6600,HOU@CHA,HOU,CHA,,,,,,PF/C
"","","","","","","","","","","","","","",126644-60233:Dillon Brooks,126644-60233,SF/SG,Dillon,Dillon Brooks,Brooks,30.163265306122447,49,6600,PHO@SA,PHO,SA,O,Suspension,,,,SG/SF
"","","","","","","","","","","","","","",126644-84670:Mikal Bridges,126644-84670,SG/SF,Mikal,Mikal Bridges,Bridges,32.763636363636365,55,6500,DET@NY,NY,DET,,,,,,SG/SF
"","","","","","","","","","","","","","",126644-110357:RJ Barrett,126644-110357,SG/SF,RJ,RJ Barrett,Barrett,31.73871046496976,31,6500,TOR@CHI,TOR,CHI,,,,,,SG/SF
"","","","","","","","","","","","","","",126644-228133:VJ Edgecombe,126644-228133,SG/PG,VJ,VJ Edgecombe,Edgecombe,31.66,50,6500,ATL@PHI,PHI,ATL,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-188426:Ausar Thompson,126644-188426,SF/SG,Ausar,Ausar Thompson,Thompson,28.134693379304846,49,6400,DET@NY,DET,NY,,,,,,SG/SF
"","","","","","","","","","","","","","",126644-84678:Miles Bridges,126644-84678,PF/SF,Miles,Miles Bridges,Bridges,32.196226875737025,53,6400,HOU@CHA,CHA,HOU,O,Suspension,,,,SF/PF
"","","","","","","","","","","","","","",126644-19067:CJ McCollum,126644-19067,SG/PG,CJ,CJ McCollum,McCollum,29.85882448682598,51,6300,ATL@PHI,ATL,PHI,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-171769:Tari Eason,126644-171769,SF/PF,Tari,Tari Eason,Eason,25.654838315902218,31,6300,HOU@CHA,HOU,CHA,,,,,,SF/PF
"","","","","","","","","","","","","","",126644-70827:Ivica Zubac,126644-70827,C,Ivica,Ivica Zubac,Zubac,32.66511571130087,43,6200,IND@WAS,IND,WAS,O,Ankle,,,,C
"","","","","","","","","","","","","","",126644-58153:Kelly Oubre,126644-58153,SF/PF,Kelly,Kelly Oubre,Oubre,26.271875381469727,32,6200,ATL@PHI,PHI,ATL,,,,,,SF/PF
"","","","","","","","","","","","","","",126644-84711:Grayson Allen,126644-84711,SG/SF,Grayson,Grayson Allen,Allen,30.119998604910716,35,6100,PHO@SA,PHO,SA,Q,Ankle,,,,SG/SF
"","","","","","","","","","","","","","",126644-145323:Tre Jones,126644-145323,SG/PG,Tre,Tre Jones,Jones,27.831578304893092,38,6000,TOR@CHI,CHI,TOR,P,Hamstring,,,,PG/SG
"","","","","","","","","","","","","","",126644-84717:Anfernee Simons,126644-84717,SG/PG,Anfernee,Anfernee Simons,Simons,21.866038196491747,53,5900,TOR@CHI,CHI,TOR,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-171780:Jaden Ivey,126644-171780,SG/PG,Jaden,Jaden Ivey,Ivey,16.140540870460303,37,5900,TOR@CHI,CHI,TOR,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-228110:Nolan Traore,126644-228110,PG,Nolan,Nolan Traore,Traore,15.429031864289314,31,5900,BKN@CLE,BKN,CLE,,,,,,PG
"","","","","","","","","","","","","","",126644-110354:Nic Claxton,126644-110354,C,Nic,Nic Claxton,Claxton,31.76,50,5900,BKN@CLE,BKN,CLE,O,Ankle,,,,C
"","","","","","","","","","","","","","",126644-110326:Coby White,126644-110326,SG/PG,Coby,Coby White,White,29.365516399515087,29,5800,HOU@CHA,CHA,HOU,O,Calf,,,,PG/SG
"","","","","","","","","","","","","","",126644-171786:Mark Williams,126644-171786,C,Mark,Mark Williams,Williams,28.1360009765625,50,5800,PHO@SA,PHO,SA,,,,,,C
"","","","","","","","","","","","","","",126644-228122:Collin Murray-Boyles,126644-228122,PF/C,Collin,Collin Murray-Boyles,Murray-Boyles,21.16976715797602,43,5800,TOR@CHI,TOR,CHI,P,Thumb,,,,PF/C
"","","","","","","","","","","","","","",126644-145322:Jalen Smith,126644-145322,C/PF,Jalen,Jalen Smith,Smith,23.060464548510176,43,5800,TOR@CHI,CHI,TOR,P,Calf,,,,PF/C
"","","","","","","","","","","","","","",126644-203713:Reed Sheppard,126644-203713,PG/SG,Reed,Reed Sheppard,Sheppard,24.941509894604952,53,5800,HOU@CHA,HOU,CHA,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-188409:Jarace Walker,126644-188409,PF/SF,Jarace,Jarace Walker,Walker,20.5870361328125,54,5800,IND@WAS,IND,WAS,,,,,,SF/PF
"","","","","","","","","","","","","","",126644-158855:Justin Champagnie,126644-158855,SF/PF,Justin,Justin Champagnie,Champagnie,19.84199951171875,50,5700,IND@WAS,WAS,IND,,,,,,SF/PF
